Estadísticas Climatológicas Normales - período 1981-2010													
													
Se deja constancia que la información vertida en el presente informe puede sufrir variaciones debido a los procesos de consistencia y depuración a los que es sometida la misma													
S/D: Sin Dato													
													
Estación	Valor Medio de	Ene	Feb	Mar	Abr	May	Jun	Jul	Ago	Sep	Oct	Nov	Dic
VILLA MARÍA DEL RÍO SECO	Temperatura máxima (°C)	31.4	29.8	28.1	24.3	21.3	18.7	18.7	21.6	23.6	27.1	29.1	30.9
VILLA MARÍA DEL RÍO SECO	Temperatura mínima (°C)	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D
VILLA MARÍA DEL RÍO SECO	Humedad relativa (%)	74.7	79.7	81.8	82.1	79.0	76.7	71.8	66.3	64.7	67.5	70.4	72.5
VILLA MARÍA DEL RÍO SECO	Velocidad del Viento (km/h)	6.2	5.7	5.2	5.3	5.2	5.3	5.7	6.8	7.6	8.8	8.6	7.1
VILLA MARÍA DEL RÍO SECO	Nubosidad total (octavos)	3.9	4.1	4.1	4.4	4.4	4.2	3.3	3.2	3.3	3.6	3.8	4.0
VILLA MARÍA DEL RÍO SECO	Precipitación (mm)	130.6	119.7	134.5	70.4	21.3	8.4	12.5	6.7	27.1	62.6	89.0	130.2
VILLA MARÍA DEL RÍO SECO	Frecuencia de días con Precipitación superior a 0.1 mm	9.9	9.1	9.4	7.6	4.4	3.3	2.7	1.6	3.6	6.6	8.7	9.6
CERES AERO	Temperatura (°C)	25.3	24.1	22.6	18.8	15.2	12.3	11.5	13.7	16.0	19.8	22.2	24.3
CERES AERO	Temperatura máxima (°C)	32.1	30.9	29.3	25.0	21.9	18.8	18.8	21.7	23.7	27.0	29.0	31.0
CERES AERO	Temperatura mínima (°C)	19.2	18.5	17.3	14.0	10.3	7.5	6.2	7.6	9.5	13.4	15.8	17.9
CERES AERO	Humedad relativa (%)	72.0	76.3	78.8	81.8	81.7	82.3	78.3	72.7	69.6	69.9	70.6	71.3
CERES AERO	Velocidad del Viento (km/h)	10.2	10.6	10.7	9.8	10.3	10.2	12.0	14.1	14.6	15.1	13.8	11.9
CERES AERO	Nubosidad total (octavos)	3.3	3.4	3.4	3.9	4.0	4.3	3.5	3.4	3.4	3.6	3.3	3.3
CERES AERO	Precipitación (mm)	132.0	122.4	153.5	95.4	35.4	18.7	15.6	13.0	36.4	83.8	103.2	143.7
CERES AERO	Frecuencia de días con Precipitación superior a 0.1 mm	9.4	8.2	9.3	9.3	6.0	5.1	3.8	3.6	5.1	7.5	9.3	9.4
RECONQUISTA AERO	Temperatura (°C)	26.4	25.2	23.7	20.0	16.7	14.1	13.4	15.4	17.1	20.6	22.9	25.0
RECONQUISTA AERO	Temperatura máxima (°C)	32.4	30.9	29.4	25.4	22.2	19.3	19.5	22.2	23.6	26.7	28.7	31.0
RECONQUISTA AERO	Temperatura mínima (°C)	20.8	20.2	19.0	15.7	12.2	9.8	8.7	10.0	11.6	15.1	17.3	19.5
RECONQUISTA AERO	Humedad relativa (%)	70.3	75.6	78.0	81.5	81.5	83.1	78.8	73.5	71.5	71.8	71.0	70.4
RECONQUISTA AERO	Velocidad del Viento (km/h)	11.5	12.0	11.7	10.6	10.8	10.7	12.6	14.4	15.0	15.5	14.0	12.3
RECONQUISTA AERO	Nubosidad total (octavos)	3.2	3.4	3.2	3.8	3.6	4.3	3.5	3.4	3.5	3.5	3.2	3.1
RECONQUISTA AERO	Precipitación (mm)	141.4	156.6	168.3	155.6	58.9	49.3	31.2	26.3	53.1	114.0	159.8	136.4
RECONQUISTA AERO	Frecuencia de días con Precipitación superior a 0.1 mm	7.8	8.1	8.4	9.2	5.8	5.7	4.3	3.8	6.1	8.7	9.5	8.7
PASO DE LOS LIBRES AERO	Temperatura (°C)	26.2	25.0	23.6	19.9	16.3	13.9	13.4	15.3	16.7	20.1	22.5	25.0
PASO DE LOS LIBRES AERO	Temperatura máxima (°C)	32.6	31.0	29.6	25.6	21.9	19.2	19.1	21.6	22.6	25.9	28.5	31.2
PASO DE LOS LIBRES AERO	Temperatura mínima (°C)	20.5	20.0	18.5	15.2	11.7	9.7	9.0	10.3	11.7	14.7	16.8	19.0
PASO DE LOS LIBRES AERO	Humedad relativa (%)	67.0	72.5	74.4	78.1	80.4	82.3	79.6	75.0	73.8	72.2	68.7	65.7
PASO DE LOS LIBRES AERO	Velocidad del Viento (km/h)	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D	S/D
PASO DE LOS LIBRES AERO	Nubosidad total (octavos)	3.8	3.9	3.5	3.9	3.9	4.3	3.9	3.8	4.0	3.9	3.5	3.6
PASO DE LOS LIBRES AERO	Precipitación (mm)	128.0	154.3	166.8	205.0	129.8	101.4	73.7	56.8	108.7	152.6	149.9	120.6
PASO DE LOS LIBRES AERO	Frecuencia de días con Precipitación superior a 0.1 mm	7.1	8.5	7.7	8.6	7.4	8.0	6.7	5.9	7.7	9.1	7.7	6.9
SAN JUAN AERO	Temperatura (°C)	27.1	25.5	22.8	17.2	12.2	8.3	7.7	10.6	14.4	19.8	23.4	26.3
SAN JUAN AERO	Temperatura máxima (°C)	34.9	33.4	30.3	25.2	20.5	16.9	16.5	19.9	23.2	28.1	31.6	34.2
SAN JUAN AERO	Temperatura mínima (°C)	19.5	18.2	16.2	10.7	5.8	1.5	0.7	2.9	6.5	11.4	14.8	18.0
SAN JUAN AERO	Humedad relativa (%)	44.3	47.1	54.5	57.9	61.4	62.5	57.8	48.2	43.8	39.6	38.9	40.1
SAN JUAN AERO	Velocidad del Viento (km/h)	15.5	13.9	12.9	10.6	9.3	9.3	10.3	11.6	12.6	14.8	16.0	16.1
SAN JUAN AERO	Nubosidad total (octavos)	2.8	2.7	2.8	2.5	2.9	2.9	2.5	2.3	2.5	2.3	2.3	2.5
SAN JUAN AERO	Precipitación (mm)	15.7	18.9	11.2	4.4	4.4	1.6	3.5	3.2	5.6	3.6	7.0	11.6
SAN JUAN AERO	Frecuencia de días con Precipitación superior a 0.1 mm	3.5	2.9	2.5	1.3	1.2	0.5	1.1	0.9	1.8	1.1	1.6	2.3
CHAMICAL AERO	Temperatura (°C)	26.5	25.1	23.2	19.1	15.2	11.9	11.3	14.4	17.7	22.2	24.6	26.4
CHAMICAL AERO	Temperatura máxima (°C)	33.2	31.6	29.2	25.2	21.4	18.3	18.6	22.0	25.0	29.3	31.7	33.5
CHAMICAL AERO	Temperatura mínima (°C)	20.3	19.3	18.1	14.1	10.0	6.6	5.3	7.7	10.6	15.1	17.7	19.7
CHAMICAL AERO	Humedad relativa (%)	60.0	63.3	67.4	68.6	68.7	67.4	60.0	50.3	46.5	47.3	50.5	54.8
CHAMICAL AERO	Velocidad del Viento (km/h)	11.7	9.8	8.2	7.1	6.6	6.4	7.5	9.5	11.3	13.8	14.0	13.2
CHAMICAL AERO	Nubosidad total (octavos)	3.6	3.7	3.9	3.9	3.8	3.9	2.9	2.6	2.8	2.9	3.2	3.4
CHAMICAL AERO	Precipitación (mm)	105.0	95.1	68.2	26.6	9.9	2.1	4.9	1.7	9.4	30.4	42.6	83.5
CHAMICAL AERO	Frecuencia de días con Precipitación superior a 0.1 mm	8.6	6.6	6.8	4.4	2.7	1.5	1.4	1.0	2.2	2.9	5.4	7.2
VILLA DOLORES AERO	Temperatura (°C)	25.1	23.7	21.8	17.7	13.8	10.7	10.1	12.9	15.8	20.3	22.8	24.6
VILLA DOLORES AERO	Temperatura máxima (°C)	32.3	31.0	28.8	24.9	21.1	18.3	18.2	21.3	24.0	28.1	30.4	31.9
VILLA DOLORES AERO	Temperatura mínima (°C)	18.1	17.1	16.0	12.2	8.7	5.6	4.5	6.6	8.8	12.8	15.2	17.3
VILLA DOLORES AERO	Humedad relativa (%)	61.1	64.9	70.3	71.4	72.2	70.5	64.3	54.4	50.5	50.7	53.0	57.9
VILLA DOLORES AERO	Velocidad del Viento (km/h)	7.1	5.0	4.6	5.0	4.6	4.3	5.6	6.5	7.1	8.7	8.6	7.3
VILLA DOLORES AERO	Nubosidad total (octavos)	3.4	3.5	3.6	3.5	3.8	3.6	3.1	3.0	3.1	3.2	3.3	3.5
VILLA DOLORES AERO	Precipitación (mm)	121.1	102.2	94.4	42.4	17.6	4.7	13.2	6.1	22.9	35.1	75.1	113.3
VILLA DOLORES AERO	Frecuencia de días con Precipitación superior a 0.1 mm	10.5	9.1	8.6	5.5	3.7	1.8	2.5	1.6	3.7	4.8	8.0	10.5
